tc,group,desc,verdict,expect,actual,repro
TC-22,C,없는 P/N 역전개,PASS,"빈 결과, 예외 없음",[],
TC-23,D,모든 BOM 라인이 정확히 한 공정에 붙는가,FAIL,59/59 연결,48/59 연결 · 미연결 11건 = 팬텀 3 + 미배정 8,
TC-24,D,투입 자재 없는 공정 탐지,PASS,목록 + 의도적 무투입/누락 구분,"5건 ['OP-A70', 'OP-A90', 'OP-A100', 'OP-B30', 'OP-B110'] — 구분 컬럼이 없어 '검사·건조'인지 '누락'인지 DB 로 알 수 없다 → D-8",
TC-25,D,공정 투입 합계 ↔ BOM 전개 합계 (라인별 완성품당 소요 기준),FAIL,"완전 일치 {'EA': 76.0, 'g': 221.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85}","BOP 측 {'EA': 70.0, 'g': 221.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85} · 부족 {'EA': 6.0} · 공정에 안 붙은 말단 라인 5건 ['BLDC-500W-48V→FS-7010', 'FS-7020→FS-7023', 'FS-7020→FS-7021', 'FS-7020→FS-7022', 'FS-7020→OR-7025']",
TC-26,D,어셈블리와 그 구성품이 같은 BOP 에 (이중 계상),PASS,구조적으로 불가능,팬텀 3종은 IN 행이 없어 이중 계상이 사라졌다. 팬텀 하위 라인의 IN 20건은 자식 각자 공정에 걸린다 (라운드1 M-10 해소),
TC-27,D,공정 산출물이 품목 P/N 을 갖는가,PASS,OP-A10 산출 = SC-1010P,"OUT 8공정 [('OP-A10', 'SC-1010P'), ('OP-A20', 'SC-1010'), ('OP-B40', 'RA-2000'), ('OP-B85', 'GB-8000'), ('OP-A100', 'SA-1000'), ('OP-B87', 'PL-9000'), ('OP-B90', 'PE-6000'), ('OP-B120', 'BLDC-500W-48V')]",
TC-28,D,stage_pn ↔ 품목 정합,FAIL,모든 stage_pn 이 실재 품목,미실재 ['BP-3020'],
TC-D10,D,R-10 투입 비율 합 100%,FAIL,위반 0건,11건 (합계 0 = IN 행 없음). 계획서에 R-10 점검 쿼리가 없어 검증자가 작성,
TC-57,D,process_inputs 를 호환 뷰로 교체 (이행 [3] · V-10),FAIL,교체 전후 동일 (36행),"전 36행 → 후 48행 · (공정,P/N)이 전에만 1건 · 후에만 13건 · 공통인데 **수량이 다른 행 2건**",
TC-57b,D,호환 뷰의 qty 가 '완성품당' 과 어긋나는 순간,FAIL,GB-8000 을 완성품당 2개로 바꾸면 GB-8010 의 완성품당 소요는 2 가 되어야,현행 parts.qty_per_product=1.0 · 뷰(변경 전)=1.0 · 뷰(GB-8000 2개로 바꾼 뒤)=1.0 — 뷰는 그대로 1.0 다. **지금 값이 맞아 보이는 건 현행 parentPerProduct 가 전부 1.0 이라서다(계획서 스스로 P-7 에서 '위험 신호'라 쓴 그 조건). 서브어셈블리가 2개가 되는 순간 화면 값이 틀린다**,
TC-29,E,코드표에 없는 단위 '말',PASS,FK 거부,IntegrityError: FOREIGN KEY constraint failed,
TC-30,E,자식 base_uom(EA) 과 다른 라인 단위(g) — R-7,FAIL,거부 (R-7: 같거나 환산 가능해야),통과 — 들어갔다 ← DDL·트리거에 R-7 구현이 전혀 없다. 계획서는 '트리거 또는 적재 검증'이라 했지만 둘 다 없다,
TC-56a,E,0.5 EA (R-8 소수 자릿수),FAIL,거부 (uom.decimals EA=0),통과 — 들어갔다 ← R-8 구현 없음,
TC-56b,E,차원이 다른 전역 환산 EA→kg,FAIL,거부 (COUNT↔MASS 전역 환산 금지),통과 — 들어갔다 ← uom.dim 을 보는 제약이 없다,
TC-56c,E,품목 한정 환산 SHT→kg (SC-1011),PASS,허용,통과 — 들어갔다,
TC-56d,E,전역 환산 중복 (uom_conv 유일성 — 원문 PK 가 문법 오류라 식 인덱스로 대체),PASS,1번째 허용 · 2번째 거부,1=통과 — 들어갔다 / 2=IntegrityError: UNIQUE constraint failed: index 'ux_uom_conv',
TC-31,E,SC-1011 0.85 kg + MW-1030 180 g 합산,FAIL,"1,030 g (또는 1.03 kg) — 기준단위로 통일",uom_conv 에 kg→g 1000 은 있으나 **환산을 적용하는 쿼리·함수가 계획서에 없다.** 전개 결과는 kg 0.85 와 g 221 이 그대로 따로 나온다. m→mm 행은 'mm' 이 uom 마스터에 없어 **FK 위반으로 적재조차 안 된다** → D-11,
TC-32,E,한글 단위가 DB 에 남는가,PASS,표준 코드만 (매→SHT),"bom_line 단위 ['EA', 'SET', 'SHT', 'g', 'kg', 'm'] · 한글 없음",
TC-33,E,EX-5000 SET 전개,PASS,SET 이 리프로 남지 않는다,"합계 단위 ['EA', 'SHT', 'g', 'kg', 'm']",
TC-34,E,적재 데이터의 소수 자릿수 규칙 준수,PASS,위반 0건,0건 [],
TC-34b,E,소수 수량 반올림 정책,BLOCK,정책대로,계획서에 반올림·최소포장 정책이 없다 (§5.1 은 자릿수만 정의) → 미실시,
TC-35,F,valid_to < valid_from 인 행,FAIL,CHECK(valid_to >= valid_from) 로 거부,통과 — 들어갔다 ← bom_line·bom_header 어디에도 이 CHECK 가 없다 → 결함 D-6,
TC-36,F,기간 겹침 (01-01~06-30 vs 06-01~12-31),PASS,거부,IntegrityError: BOM 라인 유효일자 겹침,
TC-59,F,UPDATE 로 기간 겹침 만들기,FAIL,거부 (R-9 UPDATE 트리거),통과 — 들어갔다 · 현재 DB 안의 겹침 쌍 0건 ← R-9 는 BEFORE INSERT 트리거뿐이다 → 결함 D-7,
TC-37,F,as-of 2026-02-01 조회,PASS,1건 · 수량 1.0,1건 · 수량 1.0,
TC-38,F,as-of 2026-08-01 조회,PASS,1건 · 수량 2.0,1건 · 수량 2.0,
TC-39,F,겹침 구간 as-of 조회,PASS,1건 (겹침이 입력에서 막혔으므로),1건,
TC-40,F,과거 시점 BOM 전개,PASS,2월 EA 77 · 8월 EA 78 (BT-3070 1→2),2월 77.0 · 8월 78.0,
TC-F41,F,같은 부모에 ACTIVE 리비전 2개가 같은 기간에,FAIL,거부 — 한 시점에 유효한 BOM 은 부모당 1개,rev A 와 rev B 가 동시에 ACTIVE · as-of 조회 2건 → 전개가 결정 불가. R-9 는 bom_line 만 본다. bom_header 겹침 규칙이 없다 → 결함 D-12,
TC-41,G,같은 대체 그룹 2품목이 기간 겹치게 유효,FAIL,거부 또는 우선순위로 1개만 유효 확정,"통과 — 들어갔다 — 같은 alt_group 에 둘이 동시에 유효하게 들어간다. ux_bom_line_dup 는 (bom,child,group,from) 이라 **자식이 다르면 통과**한다",
TC-42,G,"같은 그룹에 우선순위 중복 (1,1)",FAIL,"거부 — UNIQUE(bom_id, alt_group, alt_priority) 권고",통과 — 들어갔다 — 우선순위 1 이 둘이다. 어느 쪽이 주자재인지 DB 가 답 못 한다 → 결함 D-13,
TC-43,G,대체 그룹에 품목이 1개뿐,PASS,경고 목록,0건 — 계획서에 이 점검 쿼리가 없다 (검증자 작성),
TC-44,G,대체품이 있는 BOM 전개 — 주자재만 1회 계상,FAIL,PM-2030 8 EA 만 (대체품 제외),"{('PM-2030', 'EA'): 8.0, ('PM-2030X', 'EA'): 8.0, ('PM-2030Y', 'EA'): 8.0} → 합계 EA 92.0 (기대 76). **전개 쿼리에 alt_priority 를 보는 규칙이 계획서에 없다** → R-18",
TC-45,H,정방향 — 코일 로트 → 완성품 시리얼,PASS,"['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011'] 전부 도달","['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011']",
TC-46,H,역방향 — 완성품 시리얼 → 원자재 로트,PASS,"['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011'] 전부 도달","['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011']",
TC-47,H,원자재 로트 불량 → 영향받는 완제품 전부 (리콜 범위),PASS,SN-BLDC-2026-000481,['SN-BLDC-2026-000481'],
TC-H1,H,lot_genealogy 자기참조 (R-13),FAIL,CHECK(in_lot_id <> out_lot_id) 로 거부,통과 — 들어갔다 ← R-13 은 규칙표에 'CHECK' 라 적혀 있으나 §5.6 DDL 에 그 CHECK 가 없다 → 결함 D-14,
TC-H2,H,계보 순환 (A→B 가 이미 있는데 B→A 추가),FAIL,거부 — 계보는 비순환이어야,통과 — 들어갔다 ← 로트 계보에는 순환 차단 장치가 **하나도 없다.** 정·역 추적 쿼리가 무한 루프한다 → 결함 D-15,
TC-H3,H,mat_lot 분할 계보 자기순환 (부모↔자식 맞물림),FAIL,거부,통과 — 들어갔다 ← mat_lot.parent_lot_id 에도 순환 차단이 없다 → D-15,
TC-H4,H,"UNIQUE(out,in,process_id) 에서 process_id=NULL 중복",FAIL,2번째 거부,1=통과 — 들어갔다 / 2=통과 — 들어갔다 — SQLite 는 NULL 을 서로 다르게 본다. 공정 미지정 계보 행이 무한 중복된다 → 결함 D-16,
TC-48,I,품목 10000 · 레벨 6 정전개,PASS,"< 5,000 ms",23.8 ms · 10495행,
TC-49,I,같은 규모 역전개 (다부모 500 포함),PASS,"< 3,000 ms",5.0 ms · 2306행,
TC-50,I,같은 규모에서 순환 INSERT 검출,PASS,"< 3,000 ms · 거부",0.2 ms · IntegrityError: BOM 순환 참조 또는 레벨 초과,
TC-50b,I,말단 합계 산출 (leaf_totals — has_bom 을 행마다 호출),PASS,"< 5,000 ms",125.0 ms ← 전개 24 ms 의 5배. 계획서에 합계 SQL 이 없어 검증자가 쓴 구현의 한계. v1.0 이 합계 쿼리를 정해야 한다 (R-18),
TC-51,J,현행 parts 56행 → 새 구조 적재 손실 0,PASS,손실 0건 · 못 옮기는 행은 거부 목록,"소실 없음 · 신규 ['EX-5000', 'FS-7023', 'HA-3000', 'PK-0010', 'SC-1010P']",
TC-52,J,마이그레이션 후 전개 = §1.9 기대값 (차원별 합계),PASS,EA 76 · g 221 · 매(SHT) 12 · kg 0.85 · m 0.5,"{'EA': 76.0, 'g': 221.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85}",
TC-53,J,적재 재실행 멱등,PASS,두 번 돌려도 동일,"(60, 59, 399.35) vs (60, 59, 399.35)",
