tc,group,desc,verdict,expect,actual,note
TC-16,B,순환이 남은 상태(트리거 우회)에서 전개 + 순환 경로 보고,PASS,2초 내 종료 + v_chk_r1_cycle 에 경로,"0.9 ms · 행 245 · 최대 깊이 64 · 경로 ['GB-8000 > GB-8010 > GB-8000', 'GB-8010 > GB-8000 > GB-8010'] · summary R-1=2",Q-1 자체는 raise 하지 않는다(가드 64 에서 잘림) — API 는 전개 전에 v_chk_summary.R-1 을 봐야 한다 → 최민준 요청
TC-17,B,레벨별 노드 수,PASS,레벨별 소계,"{1: 10, 2: 47, 3: 1, 4: 1}",
TC-55,B,팬텀 — 합계 제외 · 경로 유지 · HA 자식 7종,PASS,합계 제외 · where-used 에 HA-3000 · 자식 7,합계포함=False · 경로유지=True · HA 자식 7 · 팬텀 노드 3,
TC-55b,B,qty_basis=GROSS(SC-1011): 순소요=실소요=0.85 (scrap 0),PASS,0.85 / 0.85,0.85 / 0.85,
TC-18,C,OR-5020 역전개,PASS,BLDC-500W-48V > EX-5000 > OR-5020,['BLDC-500W-48V > EX-5000 > OR-5020'],
TC-19,C,BT-3070 역전개,PASS,BLDC-500W-48V > HA-3000 > BT-3070,['BLDC-500W-48V > HA-3000 > BT-3070'],
TC-V6,C,BF-3040 역전개,PASS,BLDC-500W-48V > HA-3000 > BF-3040,['BLDC-500W-48V > HA-3000 > BF-3040'],
TC-20,C,다부모 역전개 (OR-5020 을 EX-5000·FS-7020 공용),PASS,상위 경로 2개,"['BLDC-500W-48V > EX-5000 > OR-5020', 'BLDC-500W-48V > FS-7020 > OR-5020']",
TC-20b,C,다부모 정전개 합산,PASS,EA 78,78.0,
TC-20c,C,다부모 라인의 뷰 qpp (FS-7020 경유 OR-5020 = 2),PASS,2.0,"(2.0,)",
TC-21,C,같은 자식이 한 부모 밑에 2번 (같은 시작일),PASS,거부,IntegrityError: R-9: 같은 부모·자식·대체그룹의 라인 유효기간이 겹친다,
TC-21b,C,같은 자식 · 시작일만 다르게 (겹침),PASS,R-9 거부,IntegrityError: R-9: 같은 부모·자식·대체그룹의 라인 유효기간이 겹친다,
TC-22,C,없는 P/N 역전개,PASS,빈 결과,[],
TC-23,D,BOM 라인 ↔ 공정 연결 상태가 DB 에서 구분되는가 (D-8),PASS,ASSIGNED 46 · UNASSIGNED 10 · PHANTOM 3,"{'ASSIGNED': 46, 'PHANTOM': 3, 'UNASSIGNED': 10}",
TC-23b,D,미배정 10건 = 쟁점 3·6 목록,PASS,"['BLDC-500W-48V>FS-7010', 'BLDC-500W-48V>FS-7020', 'BLDC-500W-48V>GB-8000', 'BLDC-500W-48V>PL-9000', 'SA-1000>IP-1040', 'SA-1000>LC-1080', 'FS-7020>FS-7023', 'FS-7020>FS-7021', 'FS-7020>FS-7022', 'FS-7020>OR-7025']","['BLDC-500W-48V>FS-7010', 'BLDC-500W-48V>FS-7020', 'BLDC-500W-48V>GB-8000', 'BLDC-500W-48V>PL-9000', 'FS-7020>FS-7021', 'FS-7020>FS-7022', 'FS-7020>FS-7023', 'FS-7020>OR-7025', 'SA-1000>IP-1040', 'SA-1000>LC-1080']",
TC-24,D,투입 자재 없는 공정 — OUT 행(진행 상태)로 의도적 무투입이 설명되는가,PASS,무투입 공정 전부 OUT 행 보유,"6건 [('OP-A50', '표준', '결선 완료품'), ('OP-A70', 'QC', 'QC 합격품'), ('OP-A90', '배치', '경화 완료품'), ('OP-A100', '완성', None), ('OP-B30', '표준', '착자 로터'), ('OP-B110', '병목', '시험 합격품')]",
TC-25,D,"공정별 소요(v_process_requirement, 말단 라인) 합 ↔ BOM 전개 말단 합",PASS,차이 = 미배정 말단 라인의 소요 (EA 6 · SHT 12 · m 0.5),"BOM {'g': 221.0, 'EA': 76.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85} · BOP {'g': 221.0, 'EA': 70.0, 'kg': 0.85} · 차이 {'m': 0.5, 'SHT': 12.0, 'EA': 6.0} · 미배정 말단 소요 {'EA': 6.0, 'SHT': 12.0, 'm': 0.5}",차이는 정확히 미배정 말단 7라인(FS-7010 1·FS-7021 1·FS-7022 1·FS-7023 1·OR-7025 2 = EA 6 · IP-1040 12매 · LC-1080 0.5m) — 쟁점 3·6 이 풀리면 0. 라운드 1 M-10 이중 계상(EA 51≠76)은 해소
TC-26,D,어셈블리와 구성품 이중 계상 (팬텀 IN 0건),PASS,팬텀 IN 0,팬텀 IN 0 · 팬텀 하위 라인 IN 20,
TC-27,D,공정 산출물 P/N (24공정 OUT · 완성 7 · 진행 상태 17),PASS,24 / final 7 / OP-A10 → SC-1010P,"24 / final 7 / [('OP-A10', 'TMP-SC1010P', 1, None)]",
TC-28,D,stage_pn ↔ 품목 정합,NOTE,전부 실재,미실재 ['BP-3020'],"BP-3020 은 processes.stage_pn(분해도 표시 축, 계획서 P-12 'FK 걸지 않는다') — v1.0 범위 밖. 의견으로 유지(한도윤·최민준 표시 축)"
TC-D10,D,R-10 투입 비율 합 100 (v_chk_r10_split),PASS,위반 10 = 미배정 10 (split 0),10건,
TC-R22,D,R-22 자식 투입 seq ≤ 부모 산출 seq (v_chk_r22_seq),PASS,0건,[],
TC-57,D,process_inputs 호환 뷰 전환 전후 — 계획서 §9.3 [2]④ 기대 변화와 같은가,PASS,"전에만 [('OP-B90', 'PE-6000')] · 후에만 11 · 공통 35행 수량·단위·이름·규격 차 0","전 36행 → 후 46행 · 전에만 [('OP-B90', 'PE-6000')] · 후에만 11 (일치) · 수량차 [] · 단위차 [] · 이름차 [] · 규격차 [] · 26.4 ms","계획서 §9.3[2]④·§10.3 의 '구 NULL 2행(SA-1000@B50·RA-2000@B70)' 은 **내 v0.9 프로토타입 적재기(r2_load.py 가 subassemblies 수량을 안 읽음)의 산물**이다. 실제 server/index.js importBop 은 qtyOf.set(s.pn, s.qty)=1.0 을 넣는다(라운드 1 운영 DB 사본 실측 EA 51 도 1.0 전제). 실 전후 대조는 공통 행 수량차 0 이 정답 → 계획서 문구 정정 요청"
TC-57c,D,뷰의 rowid(pm_id) 정렬 = BOP 표기 순서 (OP-B90 · OP-A30),PASS,"PC-4010…SP-4040 / IN-1020U, IN-1020L, SC-1010","['PC-4010', 'PC-4011', 'HS-4020', 'MO-4030', 'GD-4040', 'CP-4050', 'HK-4060', 'BB-4070', 'SP-4040'] / ['IN-1020U', 'IN-1020L', 'SC-1010']",
TC-57d,D,listProcesses input_count · countParts 무수정 실행,PASS,합 46 · OP-B90 9 · parts 59,합 46 · OP-B90 9 · parts 59 (전환 전 56),
TC-57b,D,호환 뷰 qty = 완성품당 전개값 (GB-8000 2개 → GB-8010 2.0 · GB-8040 4.0) — D-10,PASS,1.0 → 2.0 / 4.0,1.0 → 2.0 / 4.0,
TC-57e,D,뷰 전환 뒤 addProcessInput(INSERT INTO process_inputs) 실패 예고 확인,PASS,실패,OperationalError: cannot modify process_inputs because it is a view,POST /api/admin/bop/import · apply-sample 는 같은 PR 에서 새 적재기로 교체돼야 한다(계약)
TC-29,E,코드표에 없는 단위 '말',PASS,FK 거부,IntegrityError: R-7: 라인 단위가 자식 기준단위와 다르고 uom_conv 환산도 없다,
TC-30,E,자식 base_uom(EA) ≠ 라인 단위(g) — R-7,PASS,R-7 거부,IntegrityError: R-7: 라인 단위가 자식 기준단위와 다르고 uom_conv 환산도 없다,
TC-56a,E,0.5 EA — R-8,PASS,R-8 거부,IntegrityError: R-8: 수량의 소수 자릿수가 단위 허용 자릿수(uom.decimals)를 넘는다,
TC-56b,E,차원 다른 전역 환산 EA→kg — R-7c,PASS,R-7c 거부,IntegrityError: R-7c: 전역 환산은 같은 차원(dim) 사이에서만 — 차원 교차는 item_id 를 지정한 행으로,
TC-56c,E,품목 한정 환산 SHT→kg (SC-1011),PASS,허용,통과 — 들어갔다,
TC-56d,E,전역 환산 중복 (초기값 kg→g 가 이미 있다) — D-19 식 인덱스,PASS,UNIQUE 거부,IntegrityError: UNIQUE constraint failed: index 'ux_uom_conv',
TC-31,E,SC-1011 0.85 kg + g 221 → 기준단위 합 (Q-2 · v_uom_base),PASS,MASS 1.071 kg,"{'MASS(kg)': 1.071, 'COUNT(EA)': 76.0, 'LENGTH(m)': 0.5}",
TC-32,E,한글 단위는 symbol 에만 (코드 ASCII),PASS,코드 ASCII · SHT.symbol='매',"['EA', 'SHT', 'g', 'kg', 'm'] · {'EA': 'EA', 'SHT': '매', 'kg': 'kg', 'g': 'g', 'm': 'm'}",
TC-33,E,EX-5000 SET — uom 미등록 · 팬텀 EA · 말단 아님,PASS,SET 없음 · EA/팬텀 · 말단 제외,"SET in uom=False · ('EA', 1)",
TC-34,E,적재 59라인 소수 자릿수 규칙,PASS,위반 0,[],
TC-34b,E,소수 반올림 정책,PASS,정책 = '없음 — 거부'(v1.0 답) · R-8 트리거가 거부,TC-56a 로 확인,v0.9 BLOCK → v1.0 정책 확정
TC-35,F,valid_to < valid_from,PASS,CHECK 거부,IntegrityError: CHECK constraint failed: valid_to >= valid_from,
TC-36,F,기간 겹침 INSERT (01-01~06-30 vs 06-01~12-31),PASS,R-9 거부,IntegrityError: R-9: 같은 부모·자식·대체그룹의 라인 유효기간이 겹친다,
TC-59,F,UPDATE 로 기간 겹침 — D-7,PASS,R-9 거부,IntegrityError: R-9: UPDATE 결과 같은 부모·자식·대체그룹의 라인 유효기간이 겹친다,
TC-37,F,as-of 2026-02-01,PASS,1건 · 1.0,1건 · [1.0],
TC-38,F,as-of 2026-08-01,PASS,1건 · 2.0,1건 · [2.0],
TC-39,F,겹침 구간 as-of 2026-06-15,PASS,1건,1,
TC-40,F,과거 시점 전개 (2월 77 · 8월 78),PASS,77 / 78,77.0 / 78.0,
TC-F41,F,같은 부모에 ACTIVE rev 2개 같은 기간 — D-12,PASS,R-9b 거부,IntegrityError: R-9b: 같은 부모의 승인 BOM 유효기간이 겹친다 — 직전 rev 의 valid_to 를 먼저 끊어라,
TC-F42,F,DRAFT rev B 는 겹쳐도 된다 (ECO 준비),PASS,허용,통과 — 들어갔다,
TC-F43,F,DRAFT 헤더는 오늘 기준 유효 라인 뷰에 안 나온다,PASS,0,0,
TC-41,G,같은 대체 그룹 2품목 동시 유효 (우선순위 1·2) — 허용되고 전개는 주자재만,PASS,허용 · 전개 PM-2030 8 만 · EA 76,통과 — 들어갔다 · {'PM-2030': 8.0} · EA 76.0,
TC-42,G,"같은 그룹 우선순위 중복 (1,1) — D-13",PASS,D-13 거부,IntegrityError: D-13: 같은 대체 그룹에 같은 우선순위가 같은 기간에 둘이다 — 주자재를 정할 수 없다,
TC-43,G,대체 그룹에 품목 1개뿐 (경고 목록),PASS,목록,0건 — v_chk_* 에 이 점검은 없다(의견),
TC-44,G,대체품 있는 BOM 전개 — 주자재만 (Q-1 · 뷰 is_primary),PASS,PM-2030 primary=1 · X 0 · EA 76,"{'PM-2030': 1, 'PM-2030X': 0} · EA 76.0",
TC-44b,G,주자재 종료 후 as-of 8월 — 대체품 승격,PASS,PM-2030X 8,{'PM-2030X': 8.0},
TC-45,H,정방향 코일 로트 → 완성품 시리얼 (Q-5 fwd),PASS,"['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011']","['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011']",
TC-46,H,역방향 시리얼 → 원자재 로트 → 밀시트 (Q-5 back),PASS,"['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011'] + POSCO/MS-8842","['BLDC-500W-48V', 'SA-1000', 'SC-1010', 'SC-1010P', 'SC-1011'] + ('POSCO', 'MS-8842')",
TC-47,H,원자재 로트 불량 → 영향 완제품 전부,PASS,SN-BLDC-2026-000481,['SN-BLDC-2026-000481'],
TC-H5,H,state_pm_id 로 공정 진행 상태 (D-9),PASS,OP-A100 · final,"(None, 1, 'OP-A100')",
TC-H6,H,D-17 수량 보존 (분할 차감 + 투입 차감 후 v_chk_lot_qty),PASS,0건,0건 [],
TC-H7,H,R-23 배치 — '함침 배치 #7 불합격 → 그 30대' 한 번에 + 중복 등록 거부,PASS,30 · 중복 거부,"30 · IntegrityError: UNIQUE constraint failed: proc_batch_lot.batch_id, proc_batch_lot.lot_id",
TC-H8,H,D-18 BULK 출고 품목은 trace NONE (v_chk_bulk_trace),PASS,0,0,
TC-H9,H,TR-2 하위 SERIAL·상위 NONE 없음,PASS,0,0,
TC-H1,H,lot_genealogy 자기참조,PASS,거부,IntegrityError: R-13: 로트 계보 순환 — 산출 로트의 하류에 투입 로트가 이미 있다 (또는 깊이 64 초과),
TC-H2,H,계보 순환 (서브로트 ← SC-1010P 로트),PASS,R-13 거부,IntegrityError: R-13: 로트 계보 순환 — 산출 로트의 하류에 투입 로트가 이미 있다 (또는 깊이 64 초과),
TC-H3,H,분할 계보 맞물림 (원로트의 부모 = 서브로트),PASS,R-13 거부,IntegrityError: R-13: 분할 계보 순환 — 부모 로트가 이 로트의 하류에 있다,
TC-H4,H,"같은 계보 간선 중복 (out,in,process) — D-16",PASS,UNIQUE 거부,IntegrityError: UNIQUE constraint failed: index 'ux_gen_edge',
TC-H10,H,qty_init 불변 (D-17),PASS,D-17 거부,IntegrityError: D-17: qty_init(생성 수량)은 바꿀 수 없다 — 수량 변동은 qty 와 계보로,
TC-48,I,1만 품목 · 깊이 6 정전개 (Q-1),PASS,"< 5,000 ms",27.6 ms · 10495행,
TC-49,I,"역전개 (다부모 500 포함, Q-3)",PASS,"< 3,000 ms",4.5 ms · 2306행,
TC-50,I,순환 INSERT 검출 (깊이 가드 64),PASS,"< 3,000 ms · 거부",0.3 ms · IntegrityError: R-1: BOM 순환 참조 — 자식의 하위 ,
TC-50b,I,말단 합계 (Q-2 단일 CTE — v0.9 의 has_bom 행별 호출 126 ms 대체),PASS,"< 5,000 ms",23.9 ms · EA 8497.0,
TC-50c,I,"v_bom_line_qpp 전체 (호환 뷰의 기반, 1만 라인)",PASS,"< 5,000 ms","15.6 ms · (10495, 6)",
TC-50d,I,v_chk_summary 전체 (1만 규모),PASS,"< 10,000 ms","91.6 ms · {'D-8': 10495, 'R-10': 10495, 'R-4': 3}",
TC-51,J,현행 parts 56 + 완성품 → item 손실 0,PASS,손실 0 · 신규 3,"소실 없음 · 신규 ['FS-7023', 'PK-0010', 'SC-1010P']",FS-7020(Base 단품) 은 FS-7023 으로 개번 — cleansing_map_v1.csv 에 P-2 개번 로그
TC-52,J,이행 후 전개 = §1.9 기대값,PASS,"{'EA': 76.0, 'g': 221.0, 'SHT': 12.0, 'kg': 0.85, 'm': 0.5}","{'g': 221.0, 'EA': 76.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85}",
TC-53,J,"같은 DB 에 2회 적재 (UPSERT, loader_algorithm 7)",PASS,건수·합·최대 id 전부 불변,"(60, 11, 59, 70, 399.35, 70, 59, 60) → (60, 11, 59, 70, 399.35, 70, 59, 60) (exit 0)",
TC-53b,J,"pn_pending 승인 후 재적재 — pn UPDATE 만, 나머지 불변",PASS,정식 P/N 3 · 건수 불변,"['FS-7023', 'PK-0010', 'SC-1010P'] · True",
TC-60,K,cleansing-v1.json expected 24항목 전부 일치,PASS,24/24,불일치 [],
TC-61,K,"v_chk_summary = {D-8:10, R-10:10} 만",PASS,"{D-8:10, R-10:10}","{'D-8': 10, 'R-10': 10}",
